Year,Make,Model,Trim,Chassis Code,Price,Tire size,Length (in),Height (in),Width (in),Cargo Volume (cu ft),Turning radius (ft),"Wheel dimensions(diameter,width)",,Wheelbase (in),Track width front,Track width rear,Engine Code,Engine Displacement ,Engine cylinder configuration,Number of cylinders,Horsepower, @ rpm,Power-to-weight ratio,Torque(lb-ft),torque @ rpm,Bore(mm),Compression ratio,Stroke length (mm),City MPG,Highway MPG,Combined MPG,Annual Fuel Consumption,Energy consumption(oil barrels/year),Fuel Tank Capacity,Transmission,Towing capacity,Driveline,Payload,Curb weight(lbs),Gross vehicle weight rating,Warranty(y/mi),Body style
1993,Nissan,Altima,XE,U13,28768,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,24,30,26.4,568.8,13.5,15.9,5 Manual,1000,FWD,1302,2898,4200,3/36k mi,Sedan
1993,Nissan,Altima,GXE,U13,31044,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,24,30,26.4,568.8,13.5,15.9,5 Manual,1000,FWD,1302,2898,4200,3/36k mi,Sedan
1993,Nissan,Altima,SE,U13,36568,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,24,31,26.7,561.5,13.4,15.9,5 Manual,1000,FWD,1302,2898,4200,3/36k mi,Sedan
1993,Nissan,Altima,GLE,U13,,195/70R14,180.5,55.9,67.1,14,18.7,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,21,29,24,625.6,14.9,15.9,4 Automatic,1000,FWD,1302,2898,4200,"3/36k,5/60k/powertrain",Sedan
1994,Nissan,Altima,XE,U13,30256,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,24,30,26.4,568.8,13.5,15.9,5 Manual,1000,FWD,1302,2898,4200,3/36k mi,Sedan
1994,Nissan,Altima,GXE,U13,33189,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,24,30,26.4,568.8,13.5,15.9,5 Manual,1000,FWD,1302,2898,4200,3/36k mi,Sedan
1994,Nissan,Altima,SE,U13,37709,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,24,31,26.7,561.5,13.4,15.9,5 Manual,1000,FWD,1302,2898,4200,3/36k mi,Sedan
1994,Nissan,Altima,GLE,U13,,195/70R14,180.5,55.9,67.1,14,18.7,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,103.52,154,4400,89,9.2,96,21,29,24,625.6,14.9,15.9,4 Automatic,1000,FWD,1302,2898,4200,"3/36k,5/60k/powertrain",Sedan
1995,Nissan,Altima,XE,U13,30335,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,106.04,154,4400,89,9.2,96,24,30,26.4,568.8,13.5,15.9,5 Manual,1000,FWD,1371,2829,4200,3/36k mi,Sedan
1995,Nissan,Altima,GXE,U13,33705,195/70R14,180.5,55.9,67.1,14,37.4,15,6,103.1,57.7,57.3,KA24DE,2.4L,Inline,4,150,5600,106.04,154,4400,89,9.2,96,24,30,26.4,568.8,13.5,15.9,5 Manual,1000,FWD,1371,2829,4200,3/36k mi,Sedan
